courseKey,course,courseCategory,Descripcion,platformRating,platform,platform_keyWords,link,userRating,userEnrolled,interestCategory,suscribersCategory
E001,Los 5 Pilares de Toda Empresa de Éxito: de la Idea a la Ejecución,Emprendimiento,"Visión, Producto, Ejecución, Crecimiento, y Capital. Aprende los secretos de cada pilar y lanza tu compañía exponencial.",4.5,FutureLearn,"Negocios, Administración, Arte, Historia, Medicina, Ciencia de la Computación, Idioma, Literatura, Política, Psicología, Salud Mental, Ciencia, Ingenieria, Matemática",https://www.futurelearn.com/experttracks/5-pilares-del-emprendimiento,4.4,14567,185460,92730
E002,Empresas Exponenciales: Guía Para Comenzar,Emprendimiento,El 90% de las startups fracasan. Construir empresas de éxito sí es posible si estás bien preparado.,4.5,FutureLearn,"Negocios, Administración, Arte, Historia, Medicina, Ciencia de la Computación, Idioma, Literatura, Política, Psicología, Salud Mental, Ciencia, Ingenieria, Matemática",https://www.futurelearn.com/courses/empresas-exponenciales-gu-a-para-comenzar,3.7,15673,185460,92730
E003,De la Idea al Éxito: Metodologías de Emprendimiento,Emprendimiento,Transforma tus ideas en proyectos exitosos. Aprende metodologías de emprendimiento para llevar tus proyectos innovadores al siguiente nivel. ¡Sé un emprendedor de éxito!,4.4,edX,"Arquitectura, Diseño, Nutrición, Medicina, Cultura, Economía, Finanzas, Musica, Historia, Idioma, Ciencia, Ciencias Sociales, Ingeniería, Física, Educación, Etica, Matemática",https://www.edx.org/course/de-la-idea-al-exito-metodologias-de-emprendimiento?index=product&queryID=c30e20690d3f6ffba9181152571a2a2d&position=1&search_index=product&results_level=first-level-results&term=emprendimiento&campaign=De+la+Idea+al+%C3%89xito%3A+Metodolog%C3%ADas+de+Emprendimiento&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3.8,14567,185460,92730
E004,Emprendimientos Creativos,Emprendimiento,¿Estás pensando en sacar adelante un emprendimiento en el sector creativo? ¿Estás dando los primeros pasos en el camino de emprender? Entonces este es un curso para ti.,4.5,Coursera,"Ciencia de los Datos, Negocios, Ciencias de la Computación, Tecnología de la Información, Idioma, Salud, Física, Ingenieria, Ciencias Sociales, Artes, Matemática, Lógica",https://www.coursera.org/learn/emprendimientos-creativos,3.8,15462,185460,92730
E005,Costos para los Negocios,Emprendimiento,Aprende Contabilidad de Costos y su aplicación en sistemas empresariales. Enfoque en empresas más pequeñas y sus desafíos. Integra aprendizajes con la realidad.,4.5,Coursera,"Ciencia de los Datos, Negocios, Ciencias de la Computación, Tecnología de la Información, Idioma, Salud, Física, Ingenieria, Ciencias Sociales, Artes, Matemática, Lógica",https://www.coursera.org/learn/costosparanegocios,4.3,16789,185460,92730
E006,Plan de Negocios,Emprendimiento,"Construye el escenario futuro en un mundo volátil. Elabora planes estratégicos, investiga oportunidades de mercado y diseña organizaciones efectivas.",4.5,Coursera,"Ciencia de los Datos, Negocios, Ciencias de la Computación, Tecnología de la Información, Idioma, Salud, Física, Ingenieria, Ciencias Sociales, Artes, Matemática, Lógica",https://www.coursera.org/learn/plan-de-negocios,4.1,15672,185460,92730
I001,Programa especializado: Chino básico: Lenguaje y cultura empresarial,Idiomas,Aprende chino para conversaciones cotidianas y viajes de negocios. Crea videos demostrando tus habilidades en el idioma.,4.5,Coursera,"Ciencia de los Datos, Negocios, Ciencias de la Computación, Tecnología de la Información, Idioma, Salud, Física, Ingenieria, Ciencias Sociales, Artes, Matemática, Lógica",https://www.coursera.org/specializations/chino-basico,4.6,12347,271675,108670
I002,Programa especializado: Inglés Empresarial,Idiomas,"Aprende inglés empresarial para gestión, finanzas y mercadeo. Desarrolla habilidades de escritura y lanza un producto nuevo.",5.5,Coursera,"Ciencia de los Datos, Negocios, Ciencias de la Computación, Tecnología de la Información, Idioma, Salud, Física, Ingenieria, Ciencias Sociales, Artes, Matemática, Lógica",https://www.coursera.org/specializations/ingles-empresarial,4.6,18944,271675,108670
I003,Francés Introductorio,Idiomas,"Aprende los fundamentos del idioma francés para tener las bases y comunicarte efectivamente de forma oral y escrita; abordando gramática, vocabulario y conjugación.",4.4,edX,"Arquitectura, Diseño, Nutrición, Medicina, Cultura, Economía, Finanzas, Musica, Historia, Idioma, Ciencia, Ciencias Sociales, Ingeniería, Física, Educación, Etica, Matemática",https://www.edx.org/course/frances-introductorio?index=product&queryID=12ab4cf0a5a5e76c509ee51abeb635c4&position=4&search_index=product&results_level=first-level-results&term=idioma&campaign=Franc%C3%A9s+Introductorio&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4.2,12343,271675,108670
I004,Idioma Noruego Moderno - Curso Online,Idiomas,"Aprende noruego moderno en línea, cubriendo ortografía, pronunciación, vocabulario, gramática y frases conversacionales útiles. Diseñado para hispanohablantes de diversos países.",3.9,Udemy,"Negocios, Finanzas, Contabilidad, Informática, Software, Diseño, Marketing, Fotografía, Video,  Salud, Múscia, Educación",https://www.udemy.com/course/curso_de_idioma-noruego-moderno-online-en-espanol/,3.9,34568,271675,108670
I005,Italiano Básico y Cultura de Italia + de 16 horas de curso,Idiomas,"Curso de italiano impartido por una profesora italiana en español. Aprende fonética, gramática, vocabulario y cultura italiana.",3.9,Udemy,"Negocios, Finanzas, Contabilidad, Informática, Software, Diseño, Marketing, Fotografía, Video,  Salud, Múscia, Educación",https://www.udemy.com/course/italiano-en-un-par-de-clicks/,4.9,4653,271675,108670
I006,curso de idioma árabe estándar nivel A1,Idiomas,"Curso online del idioma árabe estándar  (nivel A1) enseñado en español. No necesitas conocimientos previos; ya que este curso es para completos principiantes, iniciamos desde cero. ",3.9,Udemy,"Negocios, Finanzas, Contabilidad, Informática, Software, Diseño, Marketing, Fotografía, Video,  Salud, Múscia, Educación",https://www.udemy.com/course/curso-de-idioma-arabe-estandar-moderno-nivel-basico/,4.8,12352,271675,108670
S001,Introducción a la genética y la evolución,Ciencia,"Curso de Genética y Evolución: ADN, variación genética y selección natural en la evolución humana. Explora su interrelación y nuestra diversidad.",4.4,edX,"Arquitectura, Diseño, Nutrición, Medicina, Cultura, Economía, Finanzas, Musica, Historia, Idioma, Ciencia, Ciencias Sociales, Ingeniería, Física, Educación, Etica, Matemática",https://www.edx.org/course/introduccion-a-la-genetica-y-la-evolucion?index=product&queryID=00cd03c2d2ee1c874ce56b314e98d2b9&position=5&results_level=second-level-results&search_index=product&term=biologia&campaign=Introducci%C3%B3n+a+la+gen%C3%A9tica+y+la+evoluci%C3%B3n&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4.7,13463,399572,99893
S002,Biología Avanzada (AP Biology),Ciencia,Nuestra misión es proporcionar una educación gratuita de clase mundial para cualquier persona en cualquier lugar.,4.5,Khan Academy,"Matemática, Física, Química, Bilogía, Microeconomía, Macroeconomía, Programación, Ciencia de los Datos, Ingeniería",https://es.khanacademy.org/science/ap-biology,4.1,15677,399572,99893
S003,Lecciones de Química,Ciencia,"Nuestro objetivo es brindar una educación de alta calidad y accesible a nivel global, sin importar la ubicación, de manera gratuita.",4.5,Khan Academy,"Matemática, Física, Química, Bilogía, Microeconomía, Macroeconomía, Programación, Ciencia de los Datos, Ingeniería",https://es.khanacademy.org/science/chemistry,4.2,15345,399572,99893
S004,Lecciones de Física,Ciencia,"Nos esforzamos por ofrecer una educación de excelencia, accesible a nivel mundial, sin importar la ubicación geográfica, y de forma completamente gratuita.",4.5,Khan Academy,"Matemática, Física, Química, Bilogía, Microeconomía, Macroeconomía, Programación, Ciencia de los Datos, Ingeniería",https://es.khanacademy.org/science/physics,4.5,16785,399572,99893
S005,Química Orgánica,Ciencia,"Trabajamos arduamente para proporcionar una educación de calidad excepcional, accesible en todo el mundo, sin importar la ubicación geográfica, y de manera totalmente gratuita.",4.5,Khan Academy,"Matemática, Física, Química, Bilogía, Microeconomía, Macroeconomía, Programación, Ciencia de los Datos, Ingeniería",https://es.khanacademy.org/science/organic-chemistry,3.9,19867,399572,99893
S006,Cosmología y Astronomía,Ciencia,Nuestra misión es proporcionar una educación gratuita de clase mundial para cualquier persona en cualquier lugar.,4.5,Khan Academy,"Matemática, Física, Química, Bilogía, Microeconomía, Macroeconomía, Programación, Ciencia de los Datos, Ingeniería",https://es.khanacademy.org/science/cosmology-and-astronomy,3.9,18756,399572,99893
C001,C# Curso Completo para ser programador .NET,Computacional,Curso online de programación en C# para principiantes sin experiencia previa. Aprende C# paso a paso de manera estructurada. ¡Inicia tu camino en la programación!,3.9,Udemy,"Negocios, Finanzas, Contabilidad, Informática, Software, Diseño, Marketing, Fotografía, Video,  Salud, Múscia, Educación",https://www.udemy.com/course/csharp_cursototal_programador/,4.7,14563,408579,136193
C002,Máster Completo en Java de cero a experto 2023 (+127 hrs),Computacional,"Mejor curso Java con IntelliJ. Completo, 127h video, 65.600 estudiantes, tareas y soluciones, certificaciones.",3.9,Udemy,"Negocios, Finanzas, Contabilidad, Informática, Software, Diseño, Marketing, Fotografía, Video,  Salud, Múscia, Educación",https://www.udemy.com/course/master-completo-java-de-cero-a-experto/,4.6,18775,408579,136193
C003,Máster de especialista en Ciencia de Datos con Python,Computacional,Aprenda a desarrolar proyectos de Machine Learning y Deep Learning con Python. Data Science de básico a Experto,3.9,Udemy,"Negocios, Finanzas, Contabilidad, Informática, Software, Diseño, Marketing, Fotografía, Video,  Salud, Múscia, Educación",https://www.udemy.com/course/master-en-ciencia-de-datos-con-python/,3.9,19756,408579,136193
C004,Ciencias de la Computación,Computacional,Nuestra misión es proporcionar una educación gratuita de clase mundial para cualquier persona en cualquier lugar.,4.5,Khan Academy,"Matemática, Física, Química, Bilogía, Microeconomía, Macroeconomía, Programación, Ciencia de los Datos, Ingeniería",https://es.khanacademy.org/computing/computer-science,4.4,19645,408579,136193
C005,Programación de Computadoras,Computacional,Nuestra misión es proporcionar una educación gratuita de clase mundial para cualquier persona en cualquier lugar.,4.5,Khan Academy,"Matemática, Física, Química, Bilogía, Microeconomía, Macroeconomía, Programación, Ciencia de los Datos, Ingeniería",https://es.khanacademy.org/computing/computer-programming,4.4,13453,408579,136193
C006,Introducción a Unity para videojuegos 2D,Computacional,"Crear videojuegos 2D en 8 cursos con Unity. Aprende con Juan Diego Vázquez, programador y diseñador de juegos.",4.6,Domestika,"Ilustración, Craft, Marketing, Negocios, Fotografía, Video, Diseño, Animación, Escritura, Moda, Diseño Web, Caligrafía, Tipografía, Musica, Audio",https://www.domestika.org/es/courses/716-introduccion-a-unity-para-videojuegos-2d,5,50001,408579,136193
